ID,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013,location
1,10/18/2016 11:15,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,O02
2,10/18/2016 11:15,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,P01
3,10/18/2016 11:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,P01
4,10/18/2016 11:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,P01
5,10/18/2016 11:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,P01
6,10/18/2016 11:15,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,P01
7,10/18/2016 11:15,-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,P01
8,10/18/2016 11:15,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,P02
9,10/18/2016 11:15,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,R01
10,10/18/2016 11:15,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,R01
11,10/18/2016 11:15,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,R01
12,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,R01
13,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,R01
14,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
15,10/18/2016 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
16,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
17,10/18/2016 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
18,10/18/2016 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
19,10/18/2016 11:14,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
20,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
21,10/18/2016 11:14,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
22,10/18/2016 11:14,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,R02
23,10/18/2016 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
24,10/18/2016 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
25,10/18/2016 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
26,10/18/2016 11:14,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
27,10/18/2016 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
28,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
29,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
30,10/18/2016 11:14,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
31,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
32,10/18/2016 11:14,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,S01
33,10/18/2016 11:14,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
34,10/18/2016 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
35,10/18/2016 11:14,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
36,10/18/2016 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
37,10/18/2016 11:14,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
38,10/18/2016 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
39,10/18/2016 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,S02
40,10/18/2016 11:14,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,T01
41,10/18/2016 11:14,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,T01
42,10/18/2016 11:13,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,U02
43,10/18/2016 11:13,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,U01
44,10/18/2016 11:13,-200,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,U01
45,10/18/2016 11:13,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,U01
46,10/18/2016 11:13,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,U01
47,10/18/2016 11:13,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,U02
48,10/18/2016 11:06,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,J03
49,10/18/2016 11:06,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,J03
50,10/18/2016 11:06,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,J03
51,10/18/2016 11:06,-200,-63,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,J03
52,10/18/2016 11:06,-200,-63,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,J03
53,10/18/2016 11:06,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,K03
54,10/18/2016 11:06,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,K03
55,10/18/2016 11:06,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,K03
56,10/18/2016 11:06,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,K03
57,10/18/2016 11:06,-200,-72,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,K03
58,10/18/2016 11:06,-200,-200,-82,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,K03
