age,sex,bmi,children,smoker,region,charges
0,0,0,0,0,0,16884.924
0,0,0,0,0,0,1725.5523
0,0,0,0,0,0,4449.462
0,0,0,0,0,0,21984.47061
0,0,0,0,0,0,3866.8552
0,0,0,0,0,0,3756.6216
0,0,0,0,0,0,8240.5896
0,0,0,0,0,0,7281.5056
0,0,0,0,0,0,6406.4107
0,0,0,0,0,0,28923.13692
0,0,0,0,0,0,2721.3208
0,0,0,0,0,0,27808.7251
0,0,0,0,0,0,1826.843
0,0,0,0,0,0,11090.7178
0,0,0,0,0,0,39611.7577
0,0,0,0,0,0,1837.237
0,0,0,0,0,0,10797.3362
0,0,0,0,0,0,2395.17155
0,0,0,0,0,0,10602.385
0,0,0,0,0,0,36837.467
0,0,0,0,0,0,13228.84695
0,0,0,0,0,0,4149.736
0,0,0,0,0,0,1137.011
0,0,0,0,0,0,37701.8768
0,0,0,0,0,0,6203.90175
0,0,0,0,0,0,14001.1338
0,0,0,0,0,0,14451.83515
0,0,0,0,0,0,12268.63225
0,0,0,0,0,0,2775.19215
0,0,0,0,0,0,38711
0,0,0,0,0,0,35585.576
0,0,0,0,0,0,2198.18985
0,0,0,0,0,0,4687.797
0,0,0,0,0,0,13770.0979
0,0,0,0,0,0,51194.55914
0,0,0,0,0,0,1625.43375
0,0,0,0,0,0,15612.19335
0,0,0,0,0,0,2302.3
0,0,0,0,0,0,39774.2763
0,0,0,0,0,0,48173.361
0,0,0,0,0,0,3046.062
0,0,0,0,0,0,4949.7587
0,0,0,0,0,0,6272.4772
0,0,0,0,0,0,6313.759
0,0,0,0,0,0,6079.6715
0,0,0,0,0,0,20630.28351
0,0,0,0,0,0,3393.35635
0,0,0,0,0,0,3556.9223
0,0,0,0,0,0,12629.8967
0,0,0,0,0,0,38709.176
0,0,0,0,0,0,2211.13075
0,0,0,0,0,0,3579.8287
0,0,0,0,0,0,23568.272
0,0,0,0,0,0,37742.5757
0,0,0,0,0,0,8059.6791
0,0,0,0,0,0,47496.49445
0,0,0,0,0,0,13607.36875
0,0,0,0,0,0,34303.1672
0,0,0,0,0,0,23244.7902
0,0,0,0,0,0,5989.52365
0,0,0,0,0,0,8606.2174
0,0,0,0,0,0,4504.6624
0,0,0,0,0,0,30166.61817
0,0,0,0,0,0,4133.64165
0,0,0,0,0,0,14711.7438
0,0,0,0,0,0,1743.214
0,0,0,0,0,0,14235.072
0,0,0,0,0,0,6389.37785
0,0,0,0,0,0,5920.1041
0,0,0,0,0,0,17663.1442
0,0,0,0,0,0,16577.7795
0,0,0,0,0,0,6799.458
0,0,0,0,0,0,11741.726
0,0,0,0,0,0,11946.6259
0,0,0,0,0,0,7726.854
0,0,0,0,0,0,11356.6609
0,0,0,0,0,0,3947.4131
0,0,0,0,0,0,1532.4697
0,0,0,0,0,0,2755.02095
0,0,0,0,0,0,6571.02435
0,0,0,0,0,0,4441.21315
0,0,0,0,0,0,7935.29115
0,0,0,0,0,0,37165.1638
0,0,0,0,0,0,11033.6617
0,0,0,0,0,0,39836.519
0,0,0,0,0,0,21098.55405
0,0,0,0,0,0,43578.9394
0,0,0,0,0,0,11073.176
0,0,0,0,0,0,8026.6666
0,0,0,0,0,0,11082.5772
0,0,0,0,0,0,2026.9741
0,0,0,0,0,0,10942.13205
0,0,0,0,0,0,30184.9367
0,0,0,0,0,0,5729.0053
0,0,0,0,0,0,47291.055
0,0,0,0,0,0,3766.8838
0,0,0,0,0,0,12105.32
0,0,0,0,0,0,10226.2842
0,0,0,0,0,0,22412.6485
0,0,0,0,0,0,15820.699
0,0,0,0,0,0,6186.127
0,0,0,0,0,0,3645.0894
0,0,0,0,0,0,21344.8467
0,0,0,0,0,0,30942.1918
0,0,0,0,0,0,5003.853
0,0,0,0,0,0,17560.37975
0,0,0,0,0,0,2331.519
0,0,0,0,0,0,3877.30425
0,0,0,0,0,0,2867.1196
0,0,0,0,0,0,47055.5321
0,0,0,0,0,0,10825.2537
0,0,0,0,0,0,11881.358
0,0,0,0,0,0,4646.759
0,0,0,0,0,0,2404.7338
0,0,0,0,0,0,11488.31695
0,0,0,0,0,0,30259.99556
0,0,0,0,0,0,11381.3254
0,0,0,0,0,0,19107.7796
0,0,0,0,0,0,8601.3293
0,0,0,0,0,0,6686.4313
0,0,0,0,0,0,7740.337
0,0,0,0,0,0,1705.6245
0,0,0,0,0,0,2257.47525
0,0,0,0,0,0,39556.4945
0,0,0,0,0,0,10115.00885
0,0,0,0,0,0,3385.39915
0,0,0,0,0,0,17081.08
0,0,0,0,0,0,9634.538
0,0,0,0,0,0,32734.1863
0,0,0,0,0,0,6082.405
0,0,0,0,0,0,12815.44495
0,0,0,0,0,0,13616.3586
0,0,0,0,0,0,11163.568
0,0,0,0,0,0,1632.56445
0,0,0,0,0,0,2457.21115
0,0,0,0,0,0,2155.6815
0,0,0,0,0,0,1261.442
0,0,0,0,0,0,2045.68525
0,0,0,0,0,0,27322.73386
0,0,0,0,0,0,2166.732
0,0,0,0,0,0,27375.90478
0,0,0,0,0,0,3490.5491
0,0,0,0,0,0,18972.495
0,0,0,0,0,0,18157.876
0,0,0,0,0,0,20745.9891
0,0,0,0,0,0,5138.2567
0,0,0,0,0,0,40720.55105
0,0,0,0,0,0,9877.6077
0,0,0,0,0,0,10959.6947
0,0,0,0,0,0,1842.519
0,0,0,0,0,0,5125.2157
0,0,0,0,0,0,7789.635
0,0,0,0,0,0,6334.34355
0,0,0,0,0,0,19964.7463
0,0,0,0,0,0,7077.1894
0,0,0,0,0,0,6948.7008
0,0,0,0,0,0,21223.6758
0,0,0,0,0,0,15518.18025
0,0,0,0,0,0,36950.2567
0,0,0,0,0,0,19749.38338
0,0,0,0,0,0,21348.706
0,0,0,0,0,0,36149.4835
0,0,0,0,0,0,10450.552
0,0,0,0,0,0,5152.134
0,0,0,0,0,0,5028.1466
0,0,0,0,0,0,10407.08585
0,0,0,0,0,0,4830.63
0,0,0,0,0,0,6128.79745
0,0,0,0,0,0,2719.27975
0,0,0,0,0,0,4827.90495
0,0,0,0,0,0,13405.3903
0,0,0,0,0,0,8116.68
0,0,0,0,0,0,1694.7964
0,0,0,0,0,0,5246.047
0,0,0,0,0,0,2855.43755
0,0,0,0,0,0,48824.45
0,0,0,0,0,0,6455.86265
0,0,0,0,0,0,10436.096
0,0,0,0,0,0,8823.279
0,0,0,0,0,0,8538.28845
0,0,0,0,0,0,11735.87905
0,0,0,0,0,0,1631.8212
0,0,0,0,0,0,4005.4225
0,0,0,0,0,0,7419.4779
0,0,0,0,0,0,7731.4271
0,0,0,0,0,0,43753.33705
0,0,0,0,0,0,3981.9768
0,0,0,0,0,0,5325.651
0,0,0,0,0,0,6775.961
0,0,0,0,0,0,4922.9159
0,0,0,0,0,0,12557.6053
0,0,0,0,0,0,4883.866
0,0,0,0,0,0,2137.6536
0,0,0,0,0,0,12044.342
0,0,0,0,0,0,1137.4697
0,0,0,0,0,0,1639.5631
0,0,0,0,0,0,5649.715
0,0,0,0,0,0,8516.829
0,0,0,0,0,0,9644.2525
0,0,0,0,0,0,14901.5167
0,0,0,0,0,0,2130.6759
0,0,0,0,0,0,8871.1517
0,0,0,0,0,0,13012.20865
0,0,0,0,0,0,37133.8982
0,0,0,0,0,0,7147.105
0,0,0,0,0,0,4337.7352
0,0,0,0,0,0,11743.299
0,0,0,0,0,0,20984.0936
0,0,0,0,0,0,13880.949
0,0,0,0,0,0,6610.1097
0,0,0,0,0,0,1980.07
0,0,0,0,0,0,8162.71625
0,0,0,0,0,0,3537.703
0,0,0,0,0,0,5002.7827
0,0,0,0,0,0,8520.026
0,0,0,0,0,0,7371.772
0,0,0,0,0,0,10355.641
0,0,0,0,0,0,2483.736
0,0,0,0,0,0,3392.9768
0,0,0,0,0,0,25081.76784
0,0,0,0,0,0,5012.471
0,0,0,0,0,0,10564.8845
0,0,0,0,0,0,5253.524
0,0,0,0,0,0,34779.615
0,0,0,0,0,0,19515.5416
0,0,0,0,0,0,11987.1682
0,0,0,0,0,0,2689.4954
0,0,0,0,0,0,24227.33724
0,0,0,0,0,0,7358.17565
0,0,0,0,0,0,9225.2564
0,0,0,0,0,0,7443.64305
0,0,0,0,0,0,14001.2867
0,0,0,0,0,0,1727.785
0,0,0,0,0,0,12333.828
0,0,0,0,0,0,6710.1919
0,0,0,0,0,0,19444.2658
0,0,0,0,0,0,1615.7667
0,0,0,0,0,0,4463.2051
0,0,0,0,0,0,17352.6803
0,0,0,0,0,0,7152.6714
0,0,0,0,0,0,38511.6283
0,0,0,0,0,0,5354.07465
0,0,0,0,0,0,35160.13457
0,0,0,0,0,0,7196.867
0,0,0,0,0,0,29523.1656
0,0,0,0,0,0,24476.47851
0,0,0,0,0,0,12648.7034
0,0,0,0,0,0,1986.9334
0,0,0,0,0,0,1832.094
0,0,0,0,0,0,4040.55825
0,0,0,0,0,0,12829.4551
0,0,0,0,0,0,47305.305
0,0,0,0,0,0,44260.7499
0,0,0,0,0,0,4260.744
0,0,0,0,0,0,41097.16175
0,0,0,0,0,0,13047.33235
0,0,0,0,0,0,43921.1837
0,0,0,0,0,0,5400.9805
0,0,0,0,0,0,11520.09985
0,0,0,0,0,0,33750.2918
0,0,0,0,0,0,11837.16
0,0,0,0,0,0,17085.2676
0,0,0,0,0,0,24869.8368
0,0,0,0,0,0,36219.40545
0,0,0,0,0,0,20462.99766
0,0,0,0,0,0,46151.1245
0,0,0,0,0,0,17179.522
0,0,0,0,0,0,14590.63205
0,0,0,0,0,0,7441.053
0,0,0,0,0,0,9282.4806
0,0,0,0,0,0,1719.4363
0,0,0,0,0,0,42856.838
0,0,0,0,0,0,7265.7025
0,0,0,0,0,0,9617.66245
0,0,0,0,0,0,2523.1695
0,0,0,0,0,0,9715.841
0,0,0,0,0,0,2803.69785
0,0,0,0,0,0,2150.469
0,0,0,0,0,0,12928.7911
